rank,kanji,count,on_readings,kun_readings,nanori,meanings_en
938,各,1009344,,,,
939,恵,1006968,,,,
940,干,1003265,,,,
941,隙,1001247,,,,
942,刃,999839,,,,
943,袋,999095,,,,
944,殴,998228,,,,
945,汗,997196,,,,
946,狼,997181,,,,
947,潰,995929,,,,
948,宝,991751,,,,
949,露,986927,,,,
950,抑,985892,,,,
951,溢,984803,,,,
952,協,983832,,,,
953,箱,983696,,,,
954,抵,977606,,,,
955,浴,976147,,,,
956,隷,970996,,,,
957,艦,970486,,,,
958,訓,970151,,,,
959,挨,969941,,,,
960,拶,969758,,,,
961,雷,969448,,,,
962,跳,968291,,,,
963,英,962526,,,,
964,才,961998,,,,
965,砂,959016,,,,
966,拠,957499,,,,
967,勉,956741,,,,
968,易,956299,,,,
969,魚,955697,,,,
970,槍,955383,,,,
971,紹,953768,,,,
972,妻,949587,,,,
973,噛,949060,,,,
974,健,948677,,,,
975,斗,947948,,,,
976,誤,946694,,,,
977,亡,945383,,,,
978,戒,943659,,,,
979,透,943327,,,,
980,称,943181,,,,
981,致,940534,,,,
982,額,940493,,,,
983,策,938305,,,,
984,沙,937175,,,,
985,功,937174,,,,
986,勘,936281,,,,
987,乃,934228,,,,
988,屈,932400,,,,
989,演,932325,,,,
990,儀,931691,,,,
991,潜,931067,,,,
992,九,929371,,,,
993,清,928407,,,,
994,懐,928345,,,,
995,換,928214,,,,
996,弁,927512,,,,
997,寂,927168,,,,
998,順,925174,,,,
999,板,923995,,,,
1000,皮,919162,,,,
1001,総,916965,,,,
1002,鋭,913760,,,,
1003,略,911979,,,,
1004,纏,911972,,,,
1005,承,911488,,,,
1006,旦,909862,,,,
1007,伯,909348,,,,
1008,谷,903131,,,,
1009,句,902768,,,,
1010,規,901401,,,,
1011,詳,900421,,,,
1012,仰,899862,,,,
1013,舐,894645,,,,
1014,奮,893069,,,,
1015,載,888711,,,,
1016,宙,887677,,,,
1017,製,886083,,,,
1018,魂,882818,,,,
1019,亜,879592,,,,
1020,眉,879278,,,,
1021,机,876677,,,,
1022,崎,875878,,,,
1023,封,875850,,,,
1024,科,875491,,,,
1025,噂,871097,,,,
1026,紫,868950,,,,
1027,匹,867438,,,,
1028,即,864898,,,,
1029,施,864520,,,,
1030,暇,861921,,,,
1031,索,860877,,,,
1032,複,859322,,,,
1033,黄,857937,,,,
1034,燃,857316,,,,
